"","record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight","genus","species","taxa","plot_type"
"73",22042,2,4,1995,2,"DM","F",36,45,"Dipodomys","merriami","Rodent","Control"
"74",22044,2,4,1995,2,"DM","M",37,46,"Dipodomys","merriami","Rodent","Control"
"75",22105,3,4,1995,2,"DM","F",37,49,"Dipodomys","merriami","Rodent","Control"
"76",22109,3,4,1995,2,"DM","M",37,46,"Dipodomys","merriami","Rodent","Control"
"77",22168,4,1,1995,2,"DM","M",36,48,"Dipodomys","merriami","Rodent","Control"
"78",22250,4,29,1995,2,"DM","F",36,48,"Dipodomys","merriami","Rodent","Control"
"79",22368,6,27,1995,2,"DM","M",37,44,"Dipodomys","merriami","Rodent","Control"
"80",22375,6,27,1995,2,"DM","F",35,27,"Dipodomys","merriami","Rodent","Control"
"81",22444,7,20,1995,2,"DM","F",31,37,"Dipodomys","merriami","Rodent","Control"
"82",22550,8,26,1995,2,"DM","F",37,26,"Dipodomys","merriami","Rodent","Control"
"83",22560,8,26,1995,2,"DM","F",34,41,"Dipodomys","merriami","Rodent","Control"
"84",22689,9,23,1995,2,"DM","F",33,43,"Dipodomys","merriami","Rodent","Control"
"85",22842,10,28,1995,2,"DM","F",35,50,"Dipodomys","merriami","Rodent","Control"
"86",22853,10,28,1995,2,"DM","F",34,44,"Dipodomys","merriami","Rodent","Control"
"87",22865,10,28,1995,2,"DM","M",33,31,"Dipodomys","merriami","Rodent","Control"
"88",22880,10,28,1995,2,"DM","M",36,44,"Dipodomys","merriami","Rodent","Control"
"89",22896,10,28,1995,2,"DM","M",34,31,"Dipodomys","merriami","Rodent","Control"
"90",22997,12,2,1995,2,"DM","M",36,50,"Dipodomys","merriami","Rodent","Control"
"91",23002,12,2,1995,2,"DM","M",35,40,"Dipodomys","merriami","Rodent","Control"
"92",23003,12,2,1995,2,"DM","F",35,43,"Dipodomys","merriami","Rodent","Control"
"93",23041,12,2,1995,2,"DM","M",36,47,"Dipodomys","merriami","Rodent","Control"
"94",23044,12,2,1995,2,"DM","M",37,43,"Dipodomys","merriami","Rodent","Control"
"95",23115,12,21,1995,2,"DM","F",37,51,"Dipodomys","merriami","Rodent","Control"
"96",23117,12,21,1995,2,"DM","M",35,23,"Dipodomys","merriami","Rodent","Control"
"97",23120,12,21,1995,2,"DM","M",35,42,"Dipodomys","merriami","Rodent","Control"
"98",23136,12,21,1995,2,"DM","M",33,27,"Dipodomys","merriami","Rodent","Control"
"99",23144,12,21,1995,2,"DM","F",36,42,"Dipodomys","merriami","Rodent","Control"
"100",23156,12,21,1995,2,"DM","M",37,47,"Dipodomys","merriami","Rodent","Control"
"101",23169,12,21,1995,2,"DM","F",36,44,"Dipodomys","merriami","Rodent","Control"
"102",23220,1,27,1996,2,"DM","F",36,47,"Dipodomys","merriami","Rodent","Control"
"103",23225,1,27,1996,2,"DM","M",40,54,"Dipodomys","merriami","Rodent","Control"
"104",23234,1,27,1996,2,"DM","F",35,45,"Dipodomys","merriami","Rodent","Control"
"105",23237,1,27,1996,2,"DM","M",35,46,"Dipodomys","merriami","Rodent","Control"
"106",23243,1,27,1996,2,"DM","M",36,49,"Dipodomys","merriami","Rodent","Control"
"107",23257,1,27,1996,2,"DM","M",36,50,"Dipodomys","merriami","Rodent","Control"
"108",23341,2,24,1996,2,"DM","F",38,55,"Dipodomys","merriami","Rodent","Control"
"109",23345,2,24,1996,2,"DM","M",37,45,"Dipodomys","merriami","Rodent","Control"
"110",23357,2,24,1996,2,"DM","F",35,44,"Dipodomys","merriami","Rodent","Control"
"111",23365,2,24,1996,2,"DM","F",34,49,"Dipodomys","merriami","Rodent","Control"
"112",23368,2,24,1996,2,"DM","M",40,55,"Dipodomys","merriami","Rodent","Control"
"113",23403,2,24,1996,2,"DM","M",35,47,"Dipodomys","merriami","Rodent","Control"
"114",23498,3,23,1996,2,"DM","F",36,41,"Dipodomys","merriami","Rodent","Control"
"115",23519,3,23,1996,2,"DM","F",36,48,"Dipodomys","merriami","Rodent","Control"
"116",23522,3,23,1996,2,"DM","F",37,49,"Dipodomys","merriami","Rodent","Control"
"117",23549,3,23,1996,2,"DM","M",38,44,"Dipodomys","merriami","Rodent","Control"
"118",23565,3,23,1996,2,"DM","M",37,48,"Dipodomys","merriami","Rodent","Control"
"119",23645,4,14,1996,2,"DM","F",37,47,"Dipodomys","merriami","Rodent","Control"
"120",23650,4,14,1996,2,"DM","F",34,26,"Dipodomys","merriami","Rodent","Control"
"121",23687,4,14,1996,2,"DM","M",40,56,"Dipodomys","merriami","Rodent","Control"
"122",23703,4,14,1996,2,"DM","F",36,49,"Dipodomys","merriami","Rodent","Control"
"123",23895,5,23,1996,2,"DM","M",35,41,"Dipodomys","merriami","Rodent","Control"
"124",23899,5,23,1996,2,"DM","M",38,53,"Dipodomys","merriami","Rodent","Control"
"125",23902,5,23,1996,2,"DM","F",37,55,"Dipodomys","merriami","Rodent","Control"
"126",23904,5,23,1996,2,"DM","F",36,49,"Dipodomys","merriami","Rodent","Control"
"127",23922,5,23,1996,2,"DM","M",40,54,"Dipodomys","merriami","Rodent","Control"
"128",23929,5,23,1996,2,"DM","F",35,47,"Dipodomys","merriami","Rodent","Control"
"129",23936,5,23,1996,2,"DM","M",37,47,"Dipodomys","merriami","Rodent","Control"
"130",24027,6,13,1996,2,"DM","M",40,53,"Dipodomys","merriami","Rodent","Control"
"131",24045,6,13,1996,2,"DM","F",36,41,"Dipodomys","merriami","Rodent","Control"
"132",24197,7,20,1996,2,"DM","F",30,46,"Dipodomys","merriami","Rodent","Control"
"133",24292,8,14,1996,2,"DM","F",35,47,"Dipodomys","merriami","Rodent","Control"
"134",24306,8,14,1996,2,"DM","M",36,40,"Dipodomys","merriami","Rodent","Control"
"135",24393,9,21,1996,2,"DM","F",33,26,"Dipodomys","merriami","Rodent","Control"
"136",24396,9,21,1996,2,"DM","M",35,28,"Dipodomys","merriami","Rodent","Control"
"137",24407,9,21,1996,2,"DM","F",35,42,"Dipodomys","merriami","Rodent","Control"
"138",24443,9,21,1996,2,"DM","M",36,42,"Dipodomys","merriami","Rodent","Control"
"139",24537,10,12,1996,2,"DM","M",38,45,"Dipodomys","merriami","Rodent","Control"
"140",24546,10,12,1996,2,"DM","M",38,50,"Dipodomys","merriami","Rodent","Control"
"141",24549,10,12,1996,2,"DM","M",34,36,"Dipodomys","merriami","Rodent","Control"
"142",24553,10,12,1996,2,"DM","F",35,48,"Dipodomys","merriami","Rodent","Control"
"143",24681,11,16,1996,2,"DM","M",35,42,"Dipodomys","merriami","Rodent","Control"
"144",24682,11,16,1996,2,"DM","M",36,41,"Dipodomys","merriami","Rodent","Control"
"145",24694,11,16,1996,2,"DM","M",38,42,"Dipodomys","merriami","Rodent","Control"
"146",24822,12,18,1996,2,"DM","M",35,45,"Dipodomys","merriami","Rodent","Control"
"147",24844,12,18,1996,2,"DM","M",37,47,"Dipodomys","merriami","Rodent","Control"
"148",24939,2,8,1997,2,"DM","M",34,44,"Dipodomys","merriami","Rodent","Control"
"149",24947,2,8,1997,2,"DM","M",36,50,"Dipodomys","merriami","Rodent","Control"
"150",25014,2,8,1997,2,"DM","M",37,49,"Dipodomys","merriami","Rodent","Control"
"151",25164,3,15,1997,2,"DM","M",34,51,"Dipodomys","merriami","Rodent","Control"
"152",25175,3,15,1997,2,"DM","M",35,52,"Dipodomys","merriami","Rodent","Control"
"153",25181,3,15,1997,2,"DM","M",35,46,"Dipodomys","merriami","Rodent","Control"
"154",25183,3,15,1997,2,"DM","F",37,48,"Dipodomys","merriami","Rodent","Control"
"155",25193,3,15,1997,2,"DM","M",35,48,"Dipodomys","merriami","Rodent","Control"
"156",25197,3,15,1997,2,"DM","F",37,53,"Dipodomys","merriami","Rodent","Control"
"157",25211,3,15,1997,2,"DM","M",38,48,"Dipodomys","merriami","Rodent","Control"
"158",25214,3,15,1997,2,"DM","M",38,53,"Dipodomys","merriami","Rodent","Control"
"159",25217,3,15,1997,2,"DM","M",35,50,"Dipodomys","merriami","Rodent","Control"
"160",25422,4,12,1997,2,"DM","M",36,43,"Dipodomys","merriami","Rodent","Control"
"161",25446,4,12,1997,2,"DM","F",35,43,"Dipodomys","merriami","Rodent","Control"
"162",25720,5,10,1997,2,"DM","M",38,49,"Dipodomys","merriami","Rodent","Control"
"163",25944,6,9,1997,2,"DM","M",36,46,"Dipodomys","merriami","Rodent","Control"
"164",26259,7,9,1997,2,"DM","M",36,44,"Dipodomys","merriami","Rodent","Control"
"165",26567,7,29,1997,2,"DM","M",37,47,"Dipodomys","merriami","Rodent","Control"
"166",26773,9,27,1997,2,"DM","M",36,49,"Dipodomys","merriami","Rodent","Control"
"167",27005,10,25,1997,2,"DM","M",36,47,"Dipodomys","merriami","Rodent","Control"
"168",27212,11,22,1997,2,"DM","M",36,43,"Dipodomys","merriami","Rodent","Control"
"169",27240,11,22,1997,2,"DM","F",36,44,"Dipodomys","merriami","Rodent","Control"
"170",27293,12,28,1997,2,"DM","M",37,45,"Dipodomys","merriami","Rodent","Control"
"171",27444,1,31,1998,2,"DM","F",36,41,"Dipodomys","merriami","Rodent","Control"
"172",27458,1,31,1998,2,"DM","M",35,46,"Dipodomys","merriami","Rodent","Control"
"173",27559,3,1,1998,2,"DM","M",35,NA,"Dipodomys","merriami","Rodent","Control"
"174",27567,3,1,1998,2,"DM","F",36,NA,"Dipodomys","merriami","Rodent","Control"
"175",27686,3,29,1998,2,"DM","M",35,43,"Dipodomys","merriami","Rodent","Control"
"176",27701,3,29,1998,2,"DM","M",34,45,"Dipodomys","merriami","Rodent","Control"
"177",27702,3,29,1998,2,"DM","M",35,48,"Dipodomys","merriami","Rodent","Control"
"178",27704,3,29,1998,2,"DM","M",37,44,"Dipodomys","merriami","Rodent","Control"
"179",27715,3,29,1998,2,"DM","M",37,43,"Dipodomys","merriami","Rodent","Control"
"180",27747,5,2,1998,2,"DM","M",35,45,"Dipodomys","merriami","Rodent","Control"
"181",27753,5,2,1998,2,"DM","F",37,58,"Dipodomys","merriami","Rodent","Control"
"182",27776,5,2,1998,2,"DM","M",35,46,"Dipodomys","merriami","Rodent","Control"
"183",27778,5,2,1998,2,"DM","M",36,53,"Dipodomys","merriami","Rodent","Control"
"184",27862,5,28,1998,2,"DM","M",37,51,"Dipodomys","merriami","Rodent","Control"
"185",27884,5,28,1998,2,"DM","M",35,21,"Dipodomys","merriami","Rodent","Control"
"186",27896,5,28,1998,2,"DM","F",37,45,"Dipodomys","merriami","Rodent","Control"
"187",27909,5,28,1998,2,"DM","M",37,52,"Dipodomys","merriami","Rodent","Control"
"188",28019,6,27,1998,2,"DM","M",37,33,"Dipodomys","merriami","Rodent","Control"
"189",28065,6,27,1998,2,"DM","M",37,32,"Dipodomys","merriami","Rodent","Control"
"190",28067,6,27,1998,2,"DM","M",35,44,"Dipodomys","merriami","Rodent","Control"
"191",28177,7,18,1998,2,"DM","M",37,40,"Dipodomys","merriami","Rodent","Control"
"192",28184,7,18,1998,2,"DM","F",36,48,"Dipodomys","merriami","Rodent","Control"
"193",28323,8,22,1998,2,"DM","M",36,45,"Dipodomys","merriami","Rodent","Control"
"194",28550,9,20,1998,2,"DM","M",37,47,"Dipodomys","merriami","Rodent","Control"
"195",28554,9,20,1998,2,"DM","M",35,36,"Dipodomys","merriami","Rodent","Control"
"196",28561,9,20,1998,2,"DM","M",35,28,"Dipodomys","merriami","Rodent","Control"
"197",28660,10,24,1998,2,"DM","M",39,37,"Dipodomys","merriami","Rodent","Control"
"198",28663,10,24,1998,2,"DM","M",37,44,"Dipodomys","merriami","Rodent","Control"
"199",28798,11,21,1998,2,"DM","M",36,46,"Dipodomys","merriami","Rodent","Control"
"200",28799,11,21,1998,2,"DM","F",35,34,"Dipodomys","merriami","Rodent","Control"
"201",28921,12,22,1998,2,"DM","M",36,47,"Dipodomys","merriami","Rodent","Control"
"202",28926,12,22,1998,2,"DM","F",34,36,"Dipodomys","merriami","Rodent","Control"
"203",29036,1,16,1999,2,"DM","M",36,44,"Dipodomys","merriami","Rodent","Control"
"204",29037,1,16,1999,2,"DM","M",37,47,"Dipodomys","merriami","Rodent","Control"
"205",29168,2,20,1999,2,"DM","M",37,50,"Dipodomys","merriami","Rodent","Control"
"206",29308,3,14,1999,2,"DM","M",36,51,"Dipodomys","merriami","Rodent","Control"
"207",29311,3,14,1999,2,"DM","M",36,27,"Dipodomys","merriami","Rodent","Control"
"208",29431,4,17,1999,2,"DM","M",37,48,"Dipodomys","merriami","Rodent","Control"
"209",29434,4,17,1999,2,"DM","F",36,31,"Dipodomys","merriami","Rodent","Control"
"210",29577,5,15,1999,2,"DM","M",37,46,"Dipodomys","merriami","Rodent","Control"
"211",29704,6,12,1999,2,"DM","F",34,42,"Dipodomys","merriami","Rodent","Control"
"212",31215,8,25,2000,2,"DM","F",36,43,"Dipodomys","merriami","Rodent","Control"
"213",31386,9,30,2000,2,"DM","F",35,45,"Dipodomys","merriami","Rodent","Control"
"214",31515,11,25,2000,2,"DM","F",35,43,"Dipodomys","merriami","Rodent","Control"
"215",31632,12,22,2000,2,"DM","F",34,44,"Dipodomys","merriami","Rodent","Control"
"216",31718,1,21,2001,2,"DM","F",34,44,"Dipodomys","merriami","Rodent","Control"
"217",31792,3,3,2001,2,"DM","F",35,45,"Dipodomys","merriami","Rodent","Control"
"218",31858,3,24,2001,2,"DM","M",37,53,"Dipodomys","merriami","Rodent","Control"
"219",31859,3,24,2001,2,"DM","F",36,60,"Dipodomys","merriami","Rodent","Control"
"220",31860,3,24,2001,2,"DM","M",37,47,"Dipodomys","merriami","Rodent","Control"
"221",31861,3,24,2001,2,"DM","M",37,48,"Dipodomys","merriami","Rodent","Control"
"222",31945,4,21,2001,2,"DM","F",35,47,"Dipodomys","merriami","Rodent","Control"
"223",31948,4,21,2001,2,"DM","M",37,52,"Dipodomys","merriami","Rodent","Control"
"224",32380,8,25,2001,2,"DM","F",36,49,"Dipodomys","merriami","Rodent","Control"
"225",32386,8,25,2001,2,"DM","M",36,46,"Dipodomys","merriami","Rodent","Control"
"226",32601,9,22,2001,2,"DM","M",34,24,"Dipodomys","merriami","Rodent","Control"
"227",32604,9,22,2001,2,"DM","M",36,47,"Dipodomys","merriami","Rodent","Control"
"228",32605,9,22,2001,2,"DM","F",36,43,"Dipodomys","merriami","Rodent","Control"
"229",32607,9,22,2001,2,"DM","M",37,50,"Dipodomys","merriami","Rodent","Control"
"230",32822,10,13,2001,2,"DM","F",36,NA,"Dipodomys","merriami","Rodent","Control"
"231",32827,10,13,2001,2,"DM","F",36,47,"Dipodomys","merriami","Rodent","Control"
"232",32828,10,13,2001,2,"DM","M",36,46,"Dipodomys","merriami","Rodent","Control"
"233",33027,11,17,2001,2,"DM","M",36,48,"Dipodomys","merriami","Rodent","Control"
"234",33035,11,17,2001,2,"DM","F",35,47,"Dipodomys","merriami","Rodent","Control"
"235",33232,12,15,2001,2,"DM","F",36,45,"Dipodomys","merriami","Rodent","Control"
"236",33234,12,15,2001,2,"DM","M",37,48,"Dipodomys","merriami","Rodent","Control"
"237",33329,1,12,2002,2,"DM","M",37,47,"Dipodomys","merriami","Rodent","Control"
"238",33336,1,12,2002,2,"DM","F",35,45,"Dipodomys","merriami","Rodent","Control"
"239",33410,2,9,2002,2,"DM","F",35,46,"Dipodomys","merriami","Rodent","Control"
"240",33579,3,13,2002,2,"DM","F",36,43,"Dipodomys","merriami","Rodent","Control"
"241",33580,3,13,2002,2,"DM","M",36,55,"Dipodomys","merriami","Rodent","Control"
"242",33581,3,13,2002,2,"DM","M",36,50,"Dipodomys","merriami","Rodent","Control"
"243",33842,4,17,2002,2,"DM","F",35,51,"Dipodomys","merriami","Rodent","Control"
"244",33844,4,17,2002,2,"DM","F",34,30,"Dipodomys","merriami","Rodent","Control"
"245",33958,5,15,2002,2,"DM","F",36,41,"Dipodomys","merriami","Rodent","Control"
"246",34192,6,15,2002,2,"DM","F",35,50,"Dipodomys","merriami","Rodent","Control"
"247",34428,7,13,2002,2,"DM","F",34,46,"Dipodomys","merriami","Rodent","Control"
"248",34672,9,8,2002,2,"DM","F",37,45,"Dipodomys","merriami","Rodent","Control"
"249",34985,11,9,2002,2,"DM","M",35,55,"Dipodomys","merriami","Rodent","Control"
"250",34987,11,9,2002,2,"DM","M",35,45,"Dipodomys","merriami","Rodent","Control"
"251",35210,12,7,2002,2,"DM","M",35,48,"Dipodomys","merriami","Rodent","Control"
"252",35397,12,29,2002,2,"DM","F",34,34,"Dipodomys","merriami","Rodent","Control"
"253",23912,5,23,1996,2,"PF","M",17,8,"Perognathus","flavus","Rodent","Control"
"254",23258,1,27,1996,2,"PE","M",20,25,"Peromyscus","eremicus","Rodent","Control"
"255",23260,1,27,1996,2,"PE","F",20,25,"Peromyscus","eremicus","Rodent","Control"
"256",23379,2,24,1996,2,"PE","F",20,17,"Peromyscus","eremicus","Rodent","Control"
"257",23393,2,24,1996,2,"PE","M",22,24,"Peromyscus","eremicus","Rodent","Control"
"258",23396,2,24,1996,2,"PE","F",20,24,"Peromyscus","eremicus","Rodent","Control"
"259",23399,2,24,1996,2,"PE","F",20,19,"Peromyscus","eremicus","Rodent","Control"
"260",23504,3,23,1996,2,"PE","M",20,21,"Peromyscus","eremicus","Rodent","Control"
"261",23547,3,23,1996,2,"PE","F",20,18,"Peromyscus","eremicus","Rodent","Control"
"262",23583,3,23,1996,2,"PE","F",19,25,"Peromyscus","eremicus","Rodent","Control"
"263",23598,3,23,1996,2,"PE","M",20,25,"Peromyscus","eremicus","Rodent","Control"
"264",23658,4,14,1996,2,"PE","M",21,20,"Peromyscus","eremicus","Rodent","Control"
"265",23716,4,14,1996,2,"PE","F",19,25,"Peromyscus","eremicus","Rodent","Control"
"266",23729,4,14,1996,2,"PE","F",20,22,"Peromyscus","eremicus","Rodent","Control"
"267",23944,5,23,1996,2,"PE","F",20,24,"Peromyscus","eremicus","Rodent","Control"
"268",23945,5,23,1996,2,"PE","M",21,21,"Peromyscus","eremicus","Rodent","Control"
"269",24711,11,16,1996,2,"PE","M",22,24,"Peromyscus","eremicus","Rodent","Control"
"270",24714,11,16,1996,2,"PE","F",20,25,"Peromyscus","eremicus","Rodent","Control"
"271",24992,2,8,1997,2,"PE","M",20,22,"Peromyscus","eremicus","Rodent","Control"
"272",25277,3,15,1997,2,"PE","M",21,24,"Peromyscus","eremicus","Rodent","Control"
"273",25280,3,15,1997,2,"PE","M",20,24,"Peromyscus","eremicus","Rodent","Control"
"274",25494,4,12,1997,2,"PE","F",20,23,"Peromyscus","eremicus","Rodent","Control"
"275",26022,6,9,1997,2,"PE","M",21,24,"Peromyscus","eremicus","Rodent","Control"
"276",27214,11,22,1997,2,"PE","M",20,21,"Peromyscus","eremicus","Rodent","Control"
"277",29035,1,16,1999,2,"PE","M",20,18,"Peromyscus","eremicus","Rodent","Control"
"278",31520,11,25,2000,2,"PE","M",20,23,"Peromyscus","eremicus","Rodent","Control"
"279",32815,10,13,2001,2,"PE","M",20,31,"Peromyscus","eremicus","Rodent","Control"
"280",33032,11,17,2001,2,"PE","F",20,21,"Peromyscus","eremicus","Rodent","Control"
"281",33036,11,17,2001,2,"PE","M",19,22,"Peromyscus","eremicus","Rodent","Control"
"282",33228,12,15,2001,2,"PE","F",20,20,"Peromyscus","eremicus","Rodent","Control"
"283",33231,12,15,2001,2,"PE","M",20,22,"Peromyscus","eremicus","Rodent","Control"
"284",33331,1,12,2002,2,"PE","F",21,23,"Peromyscus","eremicus","Rodent","Control"
"285",33411,2,9,2002,2,"PE","M",19,25,"Peromyscus","eremicus","Rodent","Control"
"286",33953,5,15,2002,2,"PE","F",20,16,"Peromyscus","eremicus","Rodent","Control"
"287",33963,5,15,2002,2,"PE","M",20,21,"Peromyscus","eremicus","Rodent","Control"
"288",34194,6,15,2002,2,"PE","F",21,25,"Peromyscus","eremicus","Rodent","Control"
"289",34426,7,13,2002,2,"PE","F",21,22,"Peromyscus","eremicus","Rodent","Control"
"290",35201,12,7,2002,2,"PE","F",21,28,"Peromyscus","eremicus","Rodent","Control"
"291",35209,12,7,2002,2,"PE","M",20,21,"Peromyscus","eremicus","Rodent","Control"
"292",26304,7,9,1997,2,"DS","F",50,113,"Dipodomys","spectabilis","Rodent","Control"
"293",26571,7,29,1997,2,"DS","F",49,118,"Dipodomys","spectabilis","Rodent","Control"
"294",26792,9,27,1997,2,"DS","F",49,113,"Dipodomys","spectabilis","Rodent","Control"
"295",26980,10,25,1997,2,"DS","F",50,108,"Dipodomys","spectabilis","Rodent","Control"
"296",27163,11,22,1997,2,"DS","F",50,103,"Dipodomys","spectabilis","Rodent","Control"
"297",27306,12,28,1997,2,"DS","F",51,111,"Dipodomys","spectabilis","Rodent","Control"
"298",27426,1,31,1998,2,"DS","F",51,122,"Dipodomys","spectabilis","Rodent","Control"
"299",27553,3,1,1998,2,"DS","M",50,NA,"Dipodomys","spectabilis","Rodent","Control"
"300",28013,6,27,1998,2,"DS","F",51,106,"Dipodomys","spectabilis","Rodent","Control"
"301",28166,7,18,1998,2,"DS","F",51,113,"Dipodomys","spectabilis","Rodent","Control"
"302",28552,9,20,1998,2,"DS","F",51,120,"Dipodomys","spectabilis","Rodent","Control"
